country,currency_name,continent,neighbours,timestamp
Afghanistan,Afghani,AS,"Turkmenistan, China, Iran, Tajikistan, Pakistan, Uzbekistan",2024-08-31 15:48:04
Aland Islands,Euro,EU,,2024-08-31 15:48:05
Albania,Lek,EU,"Macedonia, Greece, Serbia and Montenegro, Montenegro, Serbia, Kosovo",2024-08-31 15:48:05
Algeria,Dinar,AF,"Niger, Western Sahara, Libya, Mauritania, Tunisia, Morocco, Mali",2024-08-31 15:48:06
American Samoa,Dollar,OC,,2024-08-31 15:48:06
Andorra,Euro,EU,"Spain, France",2024-08-31 15:48:06
Angola,Kwanza,AF,"Democratic Republic of the Congo, Namibia, Zambia, Republic of the Congo",2024-08-31 15:48:06
Anguilla,Dollar,NA,,2024-08-31 15:48:06
Antarctica,,AN,,2024-08-31 15:48:07
Antigua and Barbuda,Dollar,NA,,2024-08-31 15:48:07
Argentina,Peso,SA,"Chile, Bolivia, Uruguay, Paraguay, Brazil",2024-08-31 15:48:07
Armenia,Dram,AS,"Georgia, Iran, Azerbaijan, Turkey",2024-08-31 15:48:07
Aruba,Guilder,NA,,2024-08-31 15:48:08
Australia,Dollar,OC,,2024-08-31 15:48:08
Austria,Euro,EU,"Switzerland, Germany, Hungary, Slovakia, Czech Republic, Italy, Slovenia, Liechtenstein",2024-08-31 15:48:08
Azerbaijan,Manat,AS,"Georgia, Iran, Armenia, Turkey, Russia",2024-08-31 15:48:09
Bahamas,Dollar,NA,,2024-08-31 15:48:09
Bahrain,Dinar,AS,,2024-08-31 15:48:09
Bangladesh,Taka,AS,"Myanmar, India",2024-08-31 15:48:09
Barbados,Dollar,NA,,2024-08-31 15:48:09
Belarus,Ruble,EU,"Poland, Lithuania, Ukraine, Russia, Latvia",2024-08-31 15:48:10
Belgium,Euro,EU,"Germany, Netherlands, Luxembourg, France",2024-08-31 15:48:10
Belize,Dollar,NA,"Guatemala, Mexico",2024-08-31 15:48:10
Benin,Franc,AF,"Niger, Togo, Burkina Faso, Nigeria",2024-08-31 15:48:11
Bermuda,Dollar,NA,,2024-08-31 15:48:11
Bhutan,Ngultrum,AS,"China, India",2024-08-31 15:48:11
Bolivia,Boliviano,SA,"Peru, Chile, Paraguay, Brazil, Argentina",2024-08-31 15:48:11
"Bonaire, Saint Eustatius and Saba",Dollar,NA,,2024-08-31 15:48:12
Bosnia and Herzegovina,Marka,EU,"Serbia and Montenegro, Croatia, Montenegro, Serbia",2024-08-31 15:48:12
Botswana,Pula,AF,"Zimbabwe, South Africa, Namibia",2024-08-31 15:48:12
Bouvet Island,Krone,AN,,2024-08-31 15:48:12
Brazil,Real,SA,"Suriname, Peru, Bolivia, Uruguay, Guyana, Paraguay, French Guiana, Venezuela, Colombia, Argentina",2024-08-31 15:48:13
